영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
기동전사 건담: 섬광의 하사웨이 키르케의 마녀,애니메이션,무라세 슈코,,20260422,https://image.tmdb.org/t/p/w500/tCtECshR8McDJRlHxrN85A7urXD.jpg,"‘샤아의 반란’이라 불린 제2차 네오지온 항쟁이 끝난 후 12년. 우주세기 105년. 지구 환경은 계속해서 악화되고, 지구연방정부는 지구를 보존한다는 명목 아래 민간인을 강제로 우주로 이주시키는 ‘인간 사냥’ 정책까지 자행하며 부패의 극에 달한다. 이러한 현실에 맞서 고위 관료 암살을 통해 저항을 시작한 반정부 조직 ‘마프티’. ‘샤아의 환생’이라 불리며 조직을 이끄는 리더 마프티 나비유 에린의 정체는, 과거 브라이트 노아의 아들이자 전쟁을 겪은 청년 하사웨이 노아였다. 신비한 힘을 지닌 소녀 기기 안달루시아를 만난 이후, 하사웨이는 잊고 있던 과거와 마주하며 깊은 혼란에 빠진다. 그럼에도 그는 ‘마프티’의 이상을 위해 지구연방 고위 관료들이 집결하는 애들레이드 회의 습격 작전을 준비한다. 한편, 지구연방군의 젊은 지휘관 케네스 슬렉 대령 역시 애들레이드 회의를 방어하는 동시에 ‘마프티’의 섬멸을 목표로 움직이기 시작한다. 기기 또한 자신에게 주어진 신비한 운명에 이끌리듯 홍콩으로 향한다. 애들레이드 회의를 앞두고, 에어즈록을 무대로 서로 다른 신념이 충돌하는 운명의 결전이 시작된다. 과연, ‘마프티’와 ‘키르케 부대’ 중 행운의 여신은 누구의 편에 설 것인가."
올 그린스,"드라마, 범죄",,"미나미 사라, 요시다 미즈키",20260506,https://image.tmdb.org/t/p/w500/xbSZGbv6yxY4onrbuTJZYEFnhhW.jpg,"학교에서도, 집에서도 마음 붙일 곳 없는 보쿠 히데미. 예쁘고 쾌활하게 보이지만 말 못 할 사정을 가진 미루쿠. 꿈과 재능의 갈림길에서 좌절하는 이와쿠마코. 3인 3색 개성을 지닌 세 여고생, 초록으로 대동단결! 세 사람이 이루고자 하는 목표는 바로 이 답답한 시골 마을에서 탈출하기. 소녀들의 발칙하고 불미스러운 일확천금 계획이 시작된다."
사랑의 하츄핑 특별판,애니메이션,김수훈,,20260501,,
극장판 반짝반짝 달님이: 싱어롱 파티,애니메이션,"이병직, 송인욱",,20260501,https://image.tmdb.org/t/p/w500/vKS6arCPL0rMLeUgH1W4CE2TfUJ.jpg,"상상력 가득한 6살 공감소녀 달님이의 환상 속 어드벤처! 동화책 속으로 들어가 백설공주를 만나고, 공룡 친구 ‘핑크’를 지키기 위해 공룡 세상으로 떠나고, 동생과 함께한 캠핑에서 가족의 소중함을 느끼는 달님이의 판타지 여행! 상상이 현실이 되는 세 가지 이야기 속에서 친구와 가족, 그리고 사랑의 마음을 배워 가는 달님이에게 이번엔 어떤 놀라운 모험이 펼쳐질까? 노래하고 춤추며 모두 함께 즐기는 신나는 싱어롱 파티가 시작된다!"
마녀배달부 키키,"애니메이션, 드라마, 가족, 판타지",미야자키 하야오,"타카야마 미나미, 사쿠마 레이",20071122,https://image.tmdb.org/t/p/w500/yEbyzK1cLDoZVIJV6auSr9yN5fG.jpg,"마녀 엄마와 인간 아빠 사이에서 태어난 소녀 키키는 13살이 되던 만월의 어느 밤, 검은 고양이 지지와 함께 집을 나와 마녀 수업을 떠난다. 평소 바다를 동경하던 키키는 바다에 떠있는 커다란 마을에 정착하게 되고, 그 곳에서 갑자기 도로에 뛰어들게 되어 경찰에게 잡히지만 돔보라는 친구를 만나 도망을 치게 된다. 키키는 빵가게 앞을 지나가다 마음씨 좋은 아주머니를 만나게 되고 그 빵집에서 첫 배달이 시작된다. 어느날 비행선 사고가 일어나는데, 거기에 돔보가 포함되어있다는 것을 알고 급히 현장으로 가게 되고, 청소부의 대걸레를 빌려 마법을 사용, 돔보를 구출하려 하는데..."
리 크로닌의 미이라,공포(호러),리 크로닌,"잭 레이너, 라이아 코스타",20260422,https://image.tmdb.org/t/p/w500/zXlwtzXP80yc3X0VokdxvmsFQfw.jpg,"한 기자의 어린 딸이 흔적도 없이 사막으로 사라진다. 그리고 8년 후, 산산이 부서진 가족은 그녀가 다시 돌아왔다는 소식에 충격을 받는다. 하지만 기쁨으로 가득해야 할 재회는 곧 살아 있는 악몽으로 변해간다."
르누아르,드라마,하야카와 치에,"스즈키 유이, 이시다 히카리, 릴리 프랭키, 카와이 유미",20260422,https://image.tmdb.org/t/p/w500/jEZ7ezDPnGElqk3Yomked5aOE6P.jpg,"11살 ‘후키’가 세상을 알고 쑥쑥 자라나는 1980년 어느 여름 방학의 이야기를 담은 2026년 봄, 언젠가 아이였고 어른이 된 우리에게 왠지 반가운 <르누아르>"
고트: 더 레전드,"애니메이션, 액션, 어드벤처, 코미디",,,20260417,https://image.tmdb.org/t/p/w500/otP94vckeMXAgQxzhcRkZSeSmYv.jpg,"큰 꿈을 품은 작은 염소 윌은 세계에서 가장 빠르고 사나운 동물들이 지배하는 고강도 혼성 풀컨택트 스포츠 ‘로어볼’의 프로 리그에 합류할 단 한 번의 기회를 얻게 된다. 새 팀의 동료들은 작은 염소가 팀 명단에 오른 것을 탐탁지 않게 여기지만, 윌은 ‘작아도 충분히 해낼 수 있다’는 것을 증명하고 스포츠의 판도를 바꾸겠다는 굳은 결의를 다진다. 이를 위해 그는 지금까지 한 번도 해본 적 없는 도전에 나서야 한다."
노멀,"범죄, 액션, 스릴러",벤 휘틀리,봅 오덴커크,20260417,https://image.tmdb.org/t/p/w500/A7TN0R78eenIf7hED3k96POTJMX.jpg,"눈 덮인, 조용하고 평범한 마을 노멀. 보안관 건더슨의 갑작스러운 죽음으로 공석이 된 자리에, 율리시스가 임시 보안관으로 부임한다. 조용한 마을, 친절한 이웃, 평화로운 하루. 율리시스의 목표는 단 하나, 이 마을을 처음 왔을 때 모습 그대로 두고 돌아가는 것. 그러던 어느 날, 단조로운 마을에 느닷없이 벌어진 은행 강도 사건. 현장을 제압하기 위해 출동한 율리시스는 뜻밖에도 동료들에게 포위당하게 되고, 그 순간, 평범해 보이던 노멀 마을에 숨겨진 거대한 비밀이 서서히 모습을 드러내기 시작한다."
줄무늬 파자마를 입은 소년,"드라마, 전쟁",마크 허만,"에이사 버터필드, 잭 스캔론, 데이빗 듈리스",20260423,https://image.tmdb.org/t/p/w500/uml9iBpS6Ynuj0uFNQ3DdLIBHzq.jpg,나치 장교인 아버지를 따라 베를린에서 폴란드로 이사 온 호기심 많은 8살 소년 브루노는 집 뒤 철조망 너머 농장이 궁금해진다. 어느 날 철조망을 사이에 두고 만난 줄무늬 파자마를 입은 소년 슈무엘과 친구가 된 브루노는 사라진 슈무엘의 아빠를 찾기 위해 비밀 작전을 제안하는데…
쉘터,"액션, 스릴러",릭 로먼 워,"제이슨 스타뎀, 보디 레이 브레스낙",20260415,https://image.tmdb.org/t/p/w500/tS3UZlVfESO4z8inIZXGiHNgDfE.jpg,"등대에 홀로 숨어살던 한 남자. 그 앞에 홀로 나타난 한 소녀. 이제 소녀를 지키기 위해, 그 남자의 숨겨왔던 액션 본능이 깨어난다!"
힌드의 목소리,드라마,,,20260415,https://image.tmdb.org/t/p/w500/rHYvGIEBHnAzkQsg1xiX5MJy7td.jpg,"2024년 1월 29일, 가자지구에 대피 명령이 떨어진 날. 6살 소녀로부터 1통의 신고가 접수된다. “나한테 총을 쏘고 있어요, 제발 데리러 와 주세요” 적신월사는 구조대와 단 8분 거리에 있는 ‘힌드’를 구하기 위해 조정 절차를 이어가지만 구조 작전은 무려 5시간 동안 이어지는데..."
미야자키 하야오의 그대들은 어떻게 살 것인가,다큐멘터리,,"미야자키 하야오, 스즈키 토시오",20260415,https://image.tmdb.org/t/p/w500/pgr6EXnzKNtPikxBj5qS7tS8N3M.jpg,"아카데미상을 수상한 <그대들은 어떻게 살 것인가>. 인생이 담긴 마지막 작품을 완성하기 위한 미야자키 하야오의 고뇌와 갈등, 긴 세월을 함께한 동료들과 예기치 못한 이별까지…"
트루먼 쇼,"드라마, 코미디, 판타지",피터 위어,"짐 캐리, 에드 해리스",19981024,https://image.tmdb.org/t/p/w500/AsUv4pFf1UQuOLKf7nYUXgmgCNf.jpg,"트루먼 버뱅크는 작고 조용한 섬마을에 사는 평범한 세일즈맨이다. 그런 그가 자신의 삶에 대해 의문을 갖기 시작한 것은 평소와 다름없이 평범한 어느 날, 갑자기 하늘에서 촬영용 조명등이 떨어지고, 어렸을 적 자신이 익사를 직접 목격했던 아버지가 살아오고, 또 누군가에 의해 끌려가는 등 상식 밖의 일들이 벌어지고 나서부터였다. 평생을 그다지 신경쓰지 않고 지냈던 일상이었지만 주변을 보니 이상한 일이 너무 많았다. 결국 자신이 특별한 상황에 놓여있다는 확신을 하게된 트루먼은 첫사랑 실비아의 모든 것이 다 거짓라는 말을 되새기며 일상으로부터 탈출을 결심하게 되는데..."
극장판 하이큐!! 쓰레기장의 결전,애니메이션,미츠나카 스스무,"무라세 아유무, 이시카와 카이토, 카지 유우키, 나카무라 유이치",20240515,https://image.tmdb.org/t/p/w500/d0jCRbTdJPEvGaboeZ3fvCUVrNT.jpg,"봄철 고교 배구대회 미야기현 대표 결정전. 1회전과 2회전에서 우승 후보를 차례로 꺾은 카라스노 고등학교는 마침내 3회전에서 인연의 라이벌 네코마 고등학교와 맞붙게 된다. 공식 경기에서 처음으로 대결하는 두 고등학교, 통칭 까마귀 VS 고양이 ‘쓰레기장의 결전’. 약속의 땅에서 ‘한 번 더’가 없는 싸움이 드디어 시작된다!"
극장판 귀멸의 칼날: 무한성편,애니메이션,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구, 오카모토 노부히코, 사쿠라이 타카히로, 코니시 카츠유키, 카와니시 켄고, 하야미 사오리, 하나자와 카나, 스즈무라 켄이치, 세키 토모카즈, 스기타 토모카즈",20250822,https://image.tmdb.org/t/p/w500/m6Dho6hDCcL5KI8mOQNemZAedFI.jpg,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다."
위 리브 인 타임,"멜로/로맨스, 드라마",존 크로울리,"플로렌스 퓨, 앤드류 가필드",20260408,https://image.tmdb.org/t/p/w500/i8HPNRsXx9Cen4CkSWMk94t6gHM.jpg,본인의 레스토랑 오픈을 준비하며 새로운 도약을 꿈꾸는 셰프 ‘알무트’. 최근 이혼을 하면서 삶의 한 챕터를 끝낸 ‘토비아스’. 예기치 못한 만남을 계기로 두 사람은 서로의 삶을 변화시키는 잊지 못할 10년을 보낸다. 우리의 사랑은 함께한 시간에 영원히 남는다.
"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",애니메이션,사카이 카즈오,,20260416,https://image.tmdb.org/t/p/w500/muigQVrx1QjkmjDQxYmI32Yd0HG.jpg,"토게나시 토게아리를 결성한 니나는 버려 두었던 고향과 마주한다. 모모카는 버려 두었던 밴드인 '다이아몬드 더스트'와 마주한다. 각자의 과거를 극복한 두 사람에게 자극받아 과거를 넘어서 프로 데뷔를 목표로 했지만, 사회의 논리에 적응하지 못해 프로를 그만두고 인디 밴드로서 살아가기로 결심한다."
크라임 101,"범죄, 드라마, 스릴러",바트 레이튼,"크리스 헴스워스, 마크 러팔로, 모니카 바바로, 코리 호킨스, 할리 베리",20260408,https://image.tmdb.org/t/p/w500/77ggpowGO0ORQY9x33NeBIPajm1.jpg,"101번 국도를 따라 흔적도 없이 사라지는 보석들. 전설적인 절도범 ‘데이비스’는 자신만의 규칙 아래 완벽한 범죄를 설계한다. 모두가 혼란에 빠진 사이, 원칙과 집념의 형사 ‘루’만이 범인의 실체를 포착하며 포위망을 좁혀간다. 거대한 보험금을 노린 ‘데이비스’는 보험중개인 ‘샤론’에게 위험한 거래를 제안하고 완벽했던 계획과 정교한 수사는 예상치 못한 국면으로 치닫는데…"
네가 마지막으로 남긴 노래,멜로/로맨스,미키 타카히로,"미치에다 슌스케, 누쿠미 메루",20260401,https://image.tmdb.org/t/p/w500/sOGzrv0BM5ezVOz1xP8leVPMZzh.jpg,"유난히 눈에 띄지 않는 소년 ‘하루토’와 유난히 빛나는 소녀 ‘아야네’. 글을 읽고 쓰는 데 어려움이 있는 소녀를 대신해 소년은 시를 쓰고, 그 시는 노래가 되어 소녀의 목소리로 세상에 울려 퍼진다. 둘만의 비밀, 오직 둘만의 언어. 말보다 음악이 먼저 닿은 순간, 설렘으로 시작되는 가장 찬란한 청춘 로맨스!"
끝장수사,"범죄, 액션",박철환,"배성우, 정가람, 이솜, 조한철, 윤경호, 신나리, 장이정, 박수영, 우현, 박지연, 황서령, 김용준, 김중기, 김정우, 박시범, 김로사, 박진수, 장세아, 김지영, 박윤석, 김광식, 이도현, 이동준, 변아영, 기다윤, 정용재, 김준범, 엄태형, 김승필, 김정원, 조현태, 한승우, 이상홍, 김태준, 임태훈, 박태강, 이상철, 김원진, 서유덕, 민대식, 권영국, 김수민, 강다현, 김민경, 김성락, 홍의정, 김승필, 심상민, 이재남, 김수영, 김경진, 이희곤",20260402,https://image.tmdb.org/t/p/w500/5Ae26RGA7hLe4yYsjH0Q9PYCTLN.jpg,"한때 잘 나가던 광역수사대 에이스였지만 사건 말아먹고 인생도 꼬인 형사 재혁에게 명석한 두뇌, 돈과 패기로 무장한 인플루언서 출신 신입 형사 중호가 파트너로 낙점된다. 어느 것 하나 맞지 않던 두 사람은 어느 날, 시골 교회 헌금함에서 48,700원을 훔친 절도범을 검거하고 그가 서울 강남 살인사건의 유력 용의자임을 밝혀낸다. 그러나 이미 범인이 체포되고 사건은 종결된 상황. 진범을 잡기 위해 서울로 출장을 떠난 이들은 담당 검사 미주의 재수사 지원을 약속받고 강남 경찰서에 공조를 요청하지만 팀웍인지 팀킬인지 모를 이들의 태도에 사건은 난관에 봉착하는데…"
두 검사,기타,세르게이 로즈니차,,20260401,https://image.tmdb.org/t/p/w500/wau82xY0mui2JXLCZK9sti3TioS.jpg,"스탈린 시기의 소련, 자신이 하는 일에 갈등을 느끼는 한 젊은 검사의 이야기. 게오르기 데미도프의 중편을 각색한 작품."
명탐정 코난: 세기말의 마술사,애니메이션,코다마 켄지,"타카야마 미나미, 야마자키 와카나, 카미야 아키라, 야마구치 캇페이",20260327,https://image.tmdb.org/t/p/w500/mGBjQkACdChVakczn92CfaqWQJH.jpg,"러시아 로마노프 왕조의 유산인 파베르제의 달걀 중 세기말 최후의 보물 ‘메모리즈 에그’가 발견되고, 이를 노리는 괴도 키드의 예고장이 도착한다. 그를 막기 위해 괴도 키드 특별 수사팀과 코난 일행, 서쪽의 고등학생 탐정 핫토리까지 합류한다. 신출귀몰한 괴도 키드는 모두를 따돌리며 ‘메모리즈 에그’를 훔치는 데 성공하지만, 정체불명의 누군가에게 저격당해 행방불명된다. 무사히 달걀을 되찾은 코난은 ‘메모리즈 에그’에 담긴 수수께끼를 발견한다. 달걀의 비밀을 풀기 위해 크루즈를 타고 도쿄로 향하는 코난 일행, 그러나 배 안에서 의문의 살인 사건이 발생하고 진실은 미궁에 빠지는데…"
런닝맨: 라이트&쉐도우,애니메이션,윤준상,"김서영, 엄상현, 권창욱, 김연우, 강시현, 전태열, 사문영, 남도형, 신경선",20260411,https://image.tmdb.org/t/p/w500/khtyZwS1E944FFUlPDEuuyTFbL2.jpg,"수차례에 걸쳐 세상을 구한 런닝맨들은 트리시티의 대스타로 절대적인 지지를 받고 있다. 그러던 어느 날 런닝맨들이 돌연 위험한 악당이 되어 시민들을 공격하기 시작하는데… 1,000년 간 그림자 속에서 세상의 밸런스를 지켜온 비밀 조직 메트로놈은 흑화한 런닝맨을 제거하기 위해 전면전을 선포한다. 메트로놈의 에이전트 레마는 런닝맨의 갑작스런 변화를 수상히 여기며 수사를 시작하고, ‘빛’과 ‘그림자’, 런닝맨과 메트로놈. 서로를 향한 총구를 겨누며 펼쳐지는 역대급 초능력 대결—트리시티의 진짜 적은 과연 누구인가?"
호퍼스,애니메이션,다니엘 총,"파이퍼 쿠르다, 바비 모니한, 존 햄, 메릴 스트립",20260304,https://image.tmdb.org/t/p/w500/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg,"오랜 연구 끝에 개발한 ‘호핑’ 기술로 동물 세계에 가까이 갈 수 있음을 알게 된 주인공 ‘메이블’은 마치 ‘아바타’ 같다며 신기해하고, 직접 로봇 비버가 되어 동물들의 세계에 잠입한다. 그들의 말을 알아듣게 된 ‘메이블’은 진짜 동물이 된 것처럼 동물 세상을 경험하는 가운데, 연못에 있던 다른 비버에게 달려드는 곰을 막아서지만 그들에겐 그들만의 질서와 법칙이 있다는 사실을 알게 된다. ‘호핑‘ 기술을 개발한 박사는 이 기술을 자연계 질서를 어지럽히는 데 쓰면 안 된다고 경고하지만, ‘메이블’은 통신을 끊어버려 이후 예측불가의 모험이 펼쳐질 것을 예고한다."
